NM_VOTAVEL,SG_PARTIDO,BAIRRO,QT_VOTOS
FÁBIO OLIVEIRA,MDB,JARDIM MAUA,3
FÁBIO OLIVEIRA,MDB,LIBERDADE,31
FÁBIO OLIVEIRA,MDB,LOMBA GRANDE,13
FÁBIO OLIVEIRA,MDB,OURO BRANCO,14
FÁBIO OLIVEIRA,MDB,PATRIA NOVA,11
FÁBIO OLIVEIRA,MDB,PETROPOLIS,2
FÁBIO OLIVEIRA,MDB,PRIMAVERA,7
FÁBIO OLIVEIRA,MDB,RINCAO,1
FÁBIO OLIVEIRA,MDB,RIO BRANCO,6
FÁBIO OLIVEIRA,MDB,RONDONIA,18
FÁBIO OLIVEIRA,MDB,ROSELANDIA,13
FÁBIO OLIVEIRA,MDB,SANTO AFONSO,168
FÁBIO OLIVEIRA,MDB,SAO JORGE,3
FÁBIO OLIVEIRA,MDB,SAO JOSE,8
FÁBIO OLIVEIRA,MDB,VILA NOVA,2
FÁBIO OLIVEIRA,MDB,VILA ROSA,5
FÁTIMA FERREIRA,MDB,BOA SAUDE,19
FÁTIMA FERREIRA,MDB,CANUDOS,292
FÁTIMA FERREIRA,MDB,CENTRO,25
FÁTIMA FERREIRA,MDB,GUARANI,17
FÁTIMA FERREIRA,MDB,HAMBURGO VELHO,49
FÁTIMA FERREIRA,MDB,IDEAL,21
FÁTIMA FERREIRA,MDB,INDUSTRIAL,30
FÁTIMA FERREIRA,MDB,JARDIM MAUA,31
FÁTIMA FERREIRA,MDB,LIBERDADE,16
FÁTIMA FERREIRA,MDB,LOMBA GRANDE,21
FÁTIMA FERREIRA,MDB,OPERARIO,15
FÁTIMA FERREIRA,MDB,OURO BRANCO,14
FÁTIMA FERREIRA,MDB,PATRIA NOVA,20
FÁTIMA FERREIRA,MDB,PETROPOLIS,18
FÁTIMA FERREIRA,MDB,PRIMAVERA,28
FÁTIMA FERREIRA,MDB,RINCAO,19
FÁTIMA FERREIRA,MDB,RIO BRANCO,14
FÁTIMA FERREIRA,MDB,RONDONIA,32
FÁTIMA FERREIRA,MDB,ROSELANDIA,5
FÁTIMA FERREIRA,MDB,SANTO AFONSO,35
FÁTIMA FERREIRA,MDB,SAO JORGE,45
FÁTIMA FERREIRA,MDB,SAO JOSE,58
FÁTIMA FERREIRA,MDB,VILA NOVA,13
FÁTIMA FERREIRA,MDB,VILA ROSA,18
GABRIEL RODRIGUES,PODE,BOA SAUDE,2
GABRIEL RODRIGUES,PODE,CANUDOS,46
GABRIEL RODRIGUES,PODE,CENTRO,10
GABRIEL RODRIGUES,PODE,GUARANI,3
GABRIEL RODRIGUES,PODE,HAMBURGO VELHO,5
GABRIEL RODRIGUES,PODE,IDEAL,14
GABRIEL RODRIGUES,PODE,INDUSTRIAL,174
GABRIEL RODRIGUES,PODE,JARDIM MAUA,6
GABRIEL RODRIGUES,PODE,LIBERDADE,90
GABRIEL RODRIGUES,PODE,LOMBA GRANDE,6
GABRIEL RODRIGUES,PODE,OPERARIO,6
GABRIEL RODRIGUES,PODE,OURO BRANCO,10
GABRIEL RODRIGUES,PODE,PATRIA NOVA,10
GABRIEL RODRIGUES,PODE,PETROPOLIS,5
GABRIEL RODRIGUES,PODE,PRIMAVERA,7
GABRIEL RODRIGUES,PODE,RINCAO,7
GABRIEL RODRIGUES,PODE,RIO BRANCO,9
GABRIEL RODRIGUES,PODE,RONDONIA,28
GABRIEL RODRIGUES,PODE,ROSELANDIA,2
GABRIEL RODRIGUES,PODE,SANTO AFONSO,752
GABRIEL RODRIGUES,PODE,SAO JORGE,11
GABRIEL RODRIGUES,PODE,SAO JOSE,7
GABRIEL RODRIGUES,PODE,VILA NOVA,2
GABRIEL RODRIGUES,PODE,VILA ROSA,7
GABRIEL THOEN,SOLIDARIEDADE,BOA SAUDE,3
GABRIEL THOEN,SOLIDARIEDADE,CANUDOS,10
GABRIEL THOEN,SOLIDARIEDADE,CENTRO,11
GABRIEL THOEN,SOLIDARIEDADE,GUARANI,11
GABRIEL THOEN,SOLIDARIEDADE,HAMBURGO VELHO,3
GABRIEL THOEN,SOLIDARIEDADE,IDEAL,8
GABRIEL THOEN,SOLIDARIEDADE,INDUSTRIAL,4
GABRIEL THOEN,SOLIDARIEDADE,JARDIM MAUA,2
GABRIEL THOEN,SOLIDARIEDADE,LIBERDADE,2
GABRIEL THOEN,SOLIDARIEDADE,OPERARIO,10
GABRIEL THOEN,SOLIDARIEDADE,PATRIA NOVA,6
GABRIEL THOEN,SOLIDARIEDADE,PETROPOLIS,3
GABRIEL THOEN,SOLIDARIEDADE,PRIMAVERA,3
GABRIEL THOEN,SOLIDARIEDADE,RINCAO,2
GABRIEL THOEN,SOLIDARIEDADE,RIO BRANCO,3
GABRIEL THOEN,SOLIDARIEDADE,RONDONIA,3
GABRIEL THOEN,SOLIDARIEDADE,ROSELANDIA,5
GABRIEL THOEN,SOLIDARIEDADE,SANTO AFONSO,13
GABRIEL THOEN,SOLIDARIEDADE,SAO JORGE,1
GABRIEL THOEN,SOLIDARIEDADE,SAO JOSE,2
GENOEVA,PT,BOA SAUDE,2
GENOEVA,PT,CANUDOS,62
GENOEVA,PT,CENTRO,1
GENOEVA,PT,IDEAL,1
GENOEVA,PT,INDUSTRIAL,1
GENOEVA,PT,JARDIM MAUA,1
GENOEVA,PT,LIBERDADE,1
GENOEVA,PT,PATRIA NOVA,1
GENOEVA,PT,PRIMAVERA,2
GENOEVA,PT,RIO BRANCO,1
GENOEVA,PT,RONDONIA,2
GENOEVA,PT,SANTO AFONSO,1
GENOEVA,PT,SAO JORGE,1
GEOVANE RODRIGUES GEGÊ,PP,BOA SAUDE,4
GEOVANE RODRIGUES GEGÊ,PP,CANUDOS,20
GEOVANE RODRIGUES GEGÊ,PP,CENTRO,2
GEOVANE RODRIGUES GEGÊ,PP,GUARANI,8
GEOVANE RODRIGUES GEGÊ,PP,HAMBURGO VELHO,1
GEOVANE RODRIGUES GEGÊ,PP,INDUSTRIAL,1
GEOVANE RODRIGUES GEGÊ,PP,JARDIM MAUA,1
GEOVANE RODRIGUES GEGÊ,PP,LIBERDADE,1
GEOVANE RODRIGUES GEGÊ,PP,LOMBA GRANDE,1
GEOVANE RODRIGUES GEGÊ,PP,OPERARIO,23
GEOVANE RODRIGUES GEGÊ,PP,OURO BRANCO,2
GEOVANE RODRIGUES GEGÊ,PP,PETROPOLIS,3
GEOVANE RODRIGUES GEGÊ,PP,PRIMAVERA,3
GEOVANE RODRIGUES GEGÊ,PP,RINCAO,8
GEOVANE RODRIGUES GEGÊ,PP,RIO BRANCO,1
GEOVANE RODRIGUES GEGÊ,PP,RONDONIA,1
GEOVANE RODRIGUES GEGÊ,PP,ROSELANDIA,321
GEOVANE RODRIGUES GEGÊ,PP,SANTO AFONSO,2
GEOVANE RODRIGUES GEGÊ,PP,SAO JORGE,1
GEOVANE RODRIGUES GEGÊ,PP,SAO JOSE,2
GEOVANE RODRIGUES GEGÊ,PP,VILA NOVA,6
GEOVANE RODRIGUES GEGÊ,PP,VILA ROSA,1
GILVANIO PANTIO,PP,BOA SAUDE,9
GILVANIO PANTIO,PP,CANUDOS,64
GILVANIO PANTIO,PP,CENTRO,9
GILVANIO PANTIO,PP,GUARANI,5
GILVANIO PANTIO,PP,IDEAL,15
GILVANIO PANTIO,PP,INDUSTRIAL,170
GILVANIO PANTIO,PP,JARDIM MAUA,2
GILVANIO PANTIO,PP,LIBERDADE,79
GILVANIO PANTIO,PP,LOMBA GRANDE,12
GILVANIO PANTIO,PP,OPERARIO,3
GILVANIO PANTIO,PP,OURO BRANCO,4
GILVANIO PANTIO,PP,PATRIA NOVA,7
GILVANIO PANTIO,PP,PETROPOLIS,6
GILVANIO PANTIO,PP,PRIMAVERA,7
GILVANIO PANTIO,PP,RINCAO,4
GILVANIO PANTIO,PP,RIO BRANCO,6
GILVANIO PANTIO,PP,RONDONIA,23
GILVANIO PANTIO,PP,ROSELANDIA,2
GILVANIO PANTIO,PP,SANTO AFONSO,1196
GILVANIO PANTIO,PP,SAO JORGE,14
GILVANIO PANTIO,PP,SAO JOSE,1
GILVANIO PANTIO,PP,VILA ROSA,5
GIOVANI CAJU,PP,BOA SAUDE,39
GIOVANI CAJU,PP,CANUDOS,279
GIOVANI CAJU,PP,CENTRO,198
GIOVANI CAJU,PP,GUARANI,81
GIOVANI CAJU,PP,HAMBURGO VELHO,165
GIOVANI CAJU,PP,IDEAL,163
GIOVANI CAJU,PP,INDUSTRIAL,68
GIOVANI CAJU,PP,JARDIM MAUA,84
GIOVANI CAJU,PP,LIBERDADE,37
GIOVANI CAJU,PP,LOMBA GRANDE,33
GIOVANI CAJU,PP,OPERARIO,82
GIOVANI CAJU,PP,OURO BRANCO,54
GIOVANI CAJU,PP,PATRIA NOVA,145
GIOVANI CAJU,PP,PETROPOLIS,46
GIOVANI CAJU,PP,PRIMAVERA,143
GIOVANI CAJU,PP,RINCAO,31
GIOVANI CAJU,PP,RIO BRANCO,93
GIOVANI CAJU,PP,RONDONIA,49
GIOVANI CAJU,PP,ROSELANDIA,7
GIOVANI CAJU,PP,SANTO AFONSO,34
GIOVANI CAJU,PP,SAO JORGE,67
GIOVANI CAJU,PP,SAO JOSE,110
GIOVANI CAJU,PP,VILA NOVA,28
GIOVANI CAJU,PP,VILA ROSA,188
GM ANDERSON BERTOTTI,PP,BOA SAUDE,42
GM ANDERSON BERTOTTI,PP,CANUDOS,509
GM ANDERSON BERTOTTI,PP,CENTRO,56
GM ANDERSON BERTOTTI,PP,GUARANI,22
GM ANDERSON BERTOTTI,PP,HAMBURGO VELHO,39
GM ANDERSON BERTOTTI,PP,IDEAL,58
GM ANDERSON BERTOTTI,PP,INDUSTRIAL,64
GM ANDERSON BERTOTTI,PP,JARDIM MAUA,29
GM ANDERSON BERTOTTI,PP,LIBERDADE,53
GM ANDERSON BERTOTTI,PP,LOMBA GRANDE,27
GM ANDERSON BERTOTTI,PP,OPERARIO,18
GM ANDERSON BERTOTTI,PP,OURO BRANCO,24
GM ANDERSON BERTOTTI,PP,PATRIA NOVA,62
GM ANDERSON BERTOTTI,PP,PETROPOLIS,32
GM ANDERSON BERTOTTI,PP,PRIMAVERA,45
GM ANDERSON BERTOTTI,PP,RINCAO,24
GM ANDERSON BERTOTTI,PP,RIO BRANCO,37
GM ANDERSON BERTOTTI,PP,RONDONIA,103
GM ANDERSON BERTOTTI,PP,ROSELANDIA,10
GM ANDERSON BERTOTTI,PP,SANTO AFONSO,66
GM ANDERSON BERTOTTI,PP,SAO JORGE,36
GM ANDERSON BERTOTTI,PP,SAO JOSE,44
GM ANDERSON BERTOTTI,PP,VILA NOVA,22
GM ANDERSON BERTOTTI,PP,VILA ROSA,34
GUILHERME FAGUNDES,PSDB,BOA SAUDE,2
GUILHERME FAGUNDES,PSDB,CANUDOS,471
GUILHERME FAGUNDES,PSDB,CENTRO,4
GUILHERME FAGUNDES,PSDB,HAMBURGO VELHO,5
GUILHERME FAGUNDES,PSDB,IDEAL,7
GUILHERME FAGUNDES,PSDB,INDUSTRIAL,4
GUILHERME FAGUNDES,PSDB,JARDIM MAUA,4
GUILHERME FAGUNDES,PSDB,LIBERDADE,7
GUILHERME FAGUNDES,PSDB,LOMBA GRANDE,7
GUILHERME FAGUNDES,PSDB,OPERARIO,1
GUILHERME FAGUNDES,PSDB,OURO BRANCO,6
GUILHERME FAGUNDES,PSDB,PATRIA NOVA,2
GUILHERME FAGUNDES,PSDB,PETROPOLIS,7
GUILHERME FAGUNDES,PSDB,PRIMAVERA,10
GUILHERME FAGUNDES,PSDB,RINCAO,2
GUILHERME FAGUNDES,PSDB,RONDONIA,20
GUILHERME FAGUNDES,PSDB,SANTO AFONSO,14
GUILHERME FAGUNDES,PSDB,SAO JORGE,105
GUILHERME FAGUNDES,PSDB,SAO JOSE,23
GUILHERME FAGUNDES,PSDB,VILA ROSA,5
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,BOA SAUDE,5
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,CANUDOS,40
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,CENTRO,36
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,GUARANI,9
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,HAMBURGO VELHO,19
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,IDEAL,11
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,INDUSTRIAL,10
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,JARDIM MAUA,12
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,LIBERDADE,4
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,LOMBA GRANDE,3
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,OPERARIO,12
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,OURO BRANCO,9
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,PATRIA NOVA,22
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,PETROPOLIS,29
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,PRIMAVERA,11
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,RINCAO,48
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,RIO BRANCO,9
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,RONDONIA,9
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,ROSELANDIA,4
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,SANTO AFONSO,1
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,SAO JORGE,6
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,SAO JOSE,7
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,VILA NOVA,5
GUSTAVO HENRIQUE DE OLIVEIRA,PODE,VILA ROSA,17
HELIO PANITZ,PDT,BOA SAUDE,1
HELIO PANITZ,PDT,CANUDOS,4
HELIO PANITZ,PDT,CENTRO,2
HELIO PANITZ,PDT,GUARANI,8
HELIO PANITZ,PDT,HAMBURGO VELHO,2
HELIO PANITZ,PDT,LIBERDADE,1
HELIO PANITZ,PDT,OPERARIO,7
HELIO PANITZ,PDT,OURO BRANCO,2
HELIO PANITZ,PDT,PATRIA NOVA,2
HELIO PANITZ,PDT,ROSELANDIA,1
HELIO PANITZ,PDT,SAO JOSE,1
HELIO PANITZ,PDT,VILA ROSA,5
ICA  RICARDO RITTER,MDB,BOA SAUDE,24
ICA  RICARDO RITTER,MDB,CANUDOS,652
ICA  RICARDO RITTER,MDB,CENTRO,89
ICA  RICARDO RITTER,MDB,GUARANI,55
ICA  RICARDO RITTER,MDB,HAMBURGO VELHO,78
ICA  RICARDO RITTER,MDB,IDEAL,90
ICA  RICARDO RITTER,MDB,INDUSTRIAL,97
ICA  RICARDO RITTER,MDB,JARDIM MAUA,53
ICA  RICARDO RITTER,MDB,LIBERDADE,50
ICA  RICARDO RITTER,MDB,LOMBA GRANDE,45
ICA  RICARDO RITTER,MDB,OPERARIO,35
ICA  RICARDO RITTER,MDB,OURO BRANCO,60
ICA  RICARDO RITTER,MDB,PATRIA NOVA,127
ICA  RICARDO RITTER,MDB,PETROPOLIS,63
ICA  RICARDO RITTER,MDB,PRIMAVERA,66
ICA  RICARDO RITTER,MDB,RINCAO,57
ICA  RICARDO RITTER,MDB,RIO BRANCO,41
ICA  RICARDO RITTER,MDB,RONDONIA,343
ICA  RICARDO RITTER,MDB,ROSELANDIA,17
ICA  RICARDO RITTER,MDB,SANTO AFONSO,84
ICA  RICARDO RITTER,MDB,SAO JORGE,58
ICA  RICARDO RITTER,MDB,SAO JOSE,88
ICA  RICARDO RITTER,MDB,VILA NOVA,16
ICA  RICARDO RITTER,MDB,VILA ROSA,45
INSPETOR LUZ,PP,BOA SAUDE,37
INSPETOR LUZ,PP,CANUDOS,228
INSPETOR LUZ,PP,CENTRO,171
INSPETOR LUZ,PP,GUARANI,92
INSPETOR LUZ,PP,HAMBURGO VELHO,88
INSPETOR LUZ,PP,IDEAL,99
INSPETOR LUZ,PP,INDUSTRIAL,66
INSPETOR LUZ,PP,JARDIM MAUA,54
INSPETOR LUZ,PP,LIBERDADE,59
INSPETOR LUZ,PP,LOMBA GRANDE,48
INSPETOR LUZ,PP,OPERARIO,74
INSPETOR LUZ,PP,OURO BRANCO,39
INSPETOR LUZ,PP,PATRIA NOVA,105
INSPETOR LUZ,PP,PETROPOLIS,41
INSPETOR LUZ,PP,PRIMAVERA,76
INSPETOR LUZ,PP,RINCAO,40
INSPETOR LUZ,PP,RIO BRANCO,87
INSPETOR LUZ,PP,RONDONIA,50
INSPETOR LUZ,PP,ROSELANDIA,7
INSPETOR LUZ,PP,SANTO AFONSO,60
INSPETOR LUZ,PP,SAO JORGE,62
INSPETOR LUZ,PP,SAO JOSE,47
INSPETOR LUZ,PP,VILA NOVA,18
INSPETOR LUZ,PP,VILA ROSA,103
IRMÃ SEBASTIANA,REPUBLICANOS,CANUDOS,16
IRMÃ SEBASTIANA,REPUBLICANOS,GUARANI,1
IRMÃ SEBASTIANA,REPUBLICANOS,HAMBURGO VELHO,3
IRMÃ SEBASTIANA,REPUBLICANOS,IDEAL,1
IRMÃ SEBASTIANA,REPUBLICANOS,INDUSTRIAL,18
IRMÃ SEBASTIANA,REPUBLICANOS,LIBERDADE,26
IRMÃ SEBASTIANA,REPUBLICANOS,OPERARIO,1
IRMÃ SEBASTIANA,REPUBLICANOS,PATRIA NOVA,7
IRMÃ SEBASTIANA,REPUBLICANOS,PRIMAVERA,1
IRMÃ SEBASTIANA,REPUBLICANOS,RONDONIA,7
IRMÃ SEBASTIANA,REPUBLICANOS,SANTO AFONSO,24
IRMÃ SEBASTIANA,REPUBLICANOS,SAO JORGE,6
IRMÃ SEBASTIANA,REPUBLICANOS,SAO JOSE,2
IRMÃ SEBASTIANA,REPUBLICANOS,VILA ROSA,2
IRMÃO ENFERMEIRO VILMAR,PODE,BOA SAUDE,30
IRMÃO ENFERMEIRO VILMAR,PODE,CANUDOS,1825
IRMÃO ENFERMEIRO VILMAR,PODE,CENTRO,11
IRMÃO ENFERMEIRO VILMAR,PODE,GUARANI,11
IRMÃO ENFERMEIRO VILMAR,PODE,HAMBURGO VELHO,18
IRMÃO ENFERMEIRO VILMAR,PODE,IDEAL,16
IRMÃO ENFERMEIRO VILMAR,PODE,INDUSTRIAL,27
IRMÃO ENFERMEIRO VILMAR,PODE,JARDIM MAUA,8
IRMÃO ENFERMEIRO VILMAR,PODE,LIBERDADE,27
IRMÃO ENFERMEIRO VILMAR,PODE,LOMBA GRANDE,18
IRMÃO ENFERMEIRO VILMAR,PODE,OPERARIO,10
IRMÃO ENFERMEIRO VILMAR,PODE,OURO BRANCO,11
IRMÃO ENFERMEIRO VILMAR,PODE,PATRIA NOVA,10
IRMÃO ENFERMEIRO VILMAR,PODE,PETROPOLIS,10
IRMÃO ENFERMEIRO VILMAR,PODE,PRIMAVERA,13
IRMÃO ENFERMEIRO VILMAR,PODE,RINCAO,3
IRMÃO ENFERMEIRO VILMAR,PODE,RIO BRANCO,5
IRMÃO ENFERMEIRO VILMAR,PODE,RONDONIA,194
IRMÃO ENFERMEIRO VILMAR,PODE,ROSELANDIA,45
IRMÃO ENFERMEIRO VILMAR,PODE,SANTO AFONSO,68
IRMÃO ENFERMEIRO VILMAR,PODE,SAO JORGE,85
IRMÃO ENFERMEIRO VILMAR,PODE,SAO JOSE,48
IRMÃO ENFERMEIRO VILMAR,PODE,VILA NOVA,8
IRMÃO ENFERMEIRO VILMAR,PODE,VILA ROSA,3
IRMÃO ERON LUSSANI,REPUBLICANOS,CANUDOS,101
IRMÃO ERON LUSSANI,REPUBLICANOS,HAMBURGO VELHO,1
IRMÃO ERON LUSSANI,REPUBLICANOS,PETROPOLIS,1
IRMÃO ERON LUSSANI,REPUBLICANOS,RINCAO,2
IRMÃO ERON LUSSANI,REPUBLICANOS,RONDONIA,5
IRMÃO ERON LUSSANI,REPUBLICANOS,SANTO AFONSO,1
IRMÃO ERON LUSSANI,REPUBLICANOS,SAO JORGE,4
IRMÃO ERON LUSSANI,REPUBLICANOS,SAO JOSE,2
ITO LUCIANO,PODE,BOA SAUDE,51
ITO LUCIANO,PODE,CANUDOS,725
ITO LUCIANO,PODE,CENTRO,78
ITO LUCIANO,PODE,GUARANI,56
ITO LUCIANO,PODE,HAMBURGO VELHO,50
ITO LUCIANO,PODE,IDEAL,98
ITO LUCIANO,PODE,INDUSTRIAL,135
ITO LUCIANO,PODE,JARDIM MAUA,49
ITO LUCIANO,PODE,LIBERDADE,109
ITO LUCIANO,PODE,LOMBA GRANDE,139
ITO LUCIANO,PODE,OPERARIO,30
ITO LUCIANO,PODE,OURO BRANCO,50
ITO LUCIANO,PODE,PATRIA NOVA,73
ITO LUCIANO,PODE,PETROPOLIS,44
ITO LUCIANO,PODE,PRIMAVERA,52
ITO LUCIANO,PODE,RINCAO,24
ITO LUCIANO,PODE,RIO BRANCO,42
ITO LUCIANO,PODE,RONDONIA,160
ITO LUCIANO,PODE,ROSELANDIA,172
ITO LUCIANO,PODE,SANTO AFONSO,171
ITO LUCIANO,PODE,SAO JORGE,75
ITO LUCIANO,PODE,SAO JOSE,55
ITO LUCIANO,PODE,VILA NOVA,16
ITO LUCIANO,PODE,VILA ROSA,34
JANETE ELTZ,PL,BOA SAUDE,2
JANETE ELTZ,PL,CANUDOS,5
JANETE ELTZ,PL,CENTRO,2
JANETE ELTZ,PL,GUARANI,1
JANETE ELTZ,PL,HAMBURGO VELHO,3
JANETE ELTZ,PL,IDEAL,41
JANETE ELTZ,PL,INDUSTRIAL,8
JANETE ELTZ,PL,JARDIM MAUA,2
JANETE ELTZ,PL,LIBERDADE,5
JANETE ELTZ,PL,LOMBA GRANDE,1
JANETE ELTZ,PL,OURO BRANCO,6
JANETE ELTZ,PL,PATRIA NOVA,12
JANETE ELTZ,PL,PETROPOLIS,1
JANETE ELTZ,PL,RINCAO,1
JANETE ELTZ,PL,RONDONIA,8
JANETE ELTZ,PL,ROSELANDIA,1
JANETE ELTZ,PL,SANTO AFONSO,3
JANETE ELTZ,PL,SAO JOSE,1
JANETE ELTZ,PL,VILA NOVA,1
JANETE ELTZ,PL,VILA ROSA,1
JEFE DJ,NOVO,BOA SAUDE,1
JEFE DJ,NOVO,CANUDOS,5
JEFE DJ,NOVO,CENTRO,7
JEFE DJ,NOVO,GUARANI,5
JEFE DJ,NOVO,HAMBURGO VELHO,1
JEFE DJ,NOVO,IDEAL,2
JEFE DJ,NOVO,INDUSTRIAL,11
JEFE DJ,NOVO,JARDIM MAUA,4
JEFE DJ,NOVO,LIBERDADE,14
JEFE DJ,NOVO,PATRIA NOVA,1
JEFE DJ,NOVO,PETROPOLIS,4
JEFE DJ,NOVO,PRIMAVERA,3
JEFE DJ,NOVO,RINCAO,2
JEFE DJ,NOVO,RIO BRANCO,3
JEFE DJ,NOVO,RONDONIA,7
JEFE DJ,NOVO,SANTO AFONSO,41
JEFE DJ,NOVO,SAO JORGE,1
JEFE DJ,NOVO,SAO JOSE,1
JEFE DJ,NOVO,VILA ROSA,3
JEFERSON (JEQUE DO MERCADO),PDT,CANUDOS,17
JEFERSON (JEQUE DO MERCADO),PDT,CENTRO,5
JEFERSON (JEQUE DO MERCADO),PDT,GUARANI,16
JEFERSON (JEQUE DO MERCADO),PDT,HAMBURGO VELHO,6
JEFERSON (JEQUE DO MERCADO),PDT,IDEAL,2
JEFERSON (JEQUE DO MERCADO),PDT,INDUSTRIAL,3
JEFERSON (JEQUE DO MERCADO),PDT,JARDIM MAUA,3
JEFERSON (JEQUE DO MERCADO),PDT,LIBERDADE,5
JEFERSON (JEQUE DO MERCADO),PDT,LOMBA GRANDE,485
JEFERSON (JEQUE DO MERCADO),PDT,PATRIA NOVA,1
JEFERSON (JEQUE DO MERCADO),PDT,PRIMAVERA,5
JEFERSON (JEQUE DO MERCADO),PDT,RINCAO,1
JEFERSON (JEQUE DO MERCADO),PDT,RIO BRANCO,3
JEFERSON (JEQUE DO MERCADO),PDT,RONDONIA,6
JEFERSON (JEQUE DO MERCADO),PDT,SANTO AFONSO,3
JEFERSON (JEQUE DO MERCADO),PDT,SAO JORGE,2
JEFERSON (JEQUE DO MERCADO),PDT,VILA NOVA,4
JEFERSON (JEQUE DO MERCADO),PDT,VILA ROSA,1
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,CANUDOS,12
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,CENTRO,8
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,GUARANI,1
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,HAMBURGO VELHO,1
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,IDEAL,3
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,INDUSTRIAL,45
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,JARDIM MAUA,1
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,LIBERDADE,24
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,LOMBA GRANDE,4
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,OPERARIO,3
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,OURO BRANCO,3
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,PATRIA NOVA,4
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,PETROPOLIS,2
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,PRIMAVERA,3
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,RINCAO,3
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,RIO BRANCO,1
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,RONDONIA,2
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,ROSELANDIA,3
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,SANTO AFONSO,130
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,SAO JORGE,5
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,SAO JOSE,3
JOEL DA CORRENTE DO BEM,SOLIDARIEDADE,VILA ROSA,9
JOEL GROSS,PSDB,BOA SAUDE,4
JOEL GROSS,PSDB,CANUDOS,290
JOEL GROSS,PSDB,CENTRO,37
JOEL GROSS,PSDB,GUARANI,6
JOEL GROSS,PSDB,HAMBURGO VELHO,15
JOEL GROSS,PSDB,IDEAL,21
JOEL GROSS,PSDB,INDUSTRIAL,15
JOEL GROSS,PSDB,JARDIM MAUA,14
JOEL GROSS,PSDB,LIBERDADE,14
JOEL GROSS,PSDB,LOMBA GRANDE,29
JOEL GROSS,PSDB,OPERARIO,5
JOEL GROSS,PSDB,OURO BRANCO,8
JOEL GROSS,PSDB,PATRIA NOVA,33
JOEL GROSS,PSDB,PETROPOLIS,12
JOEL GROSS,PSDB,PRIMAVERA,18
JOEL GROSS,PSDB,RINCAO,5
JOEL GROSS,PSDB,RIO BRANCO,11
JOEL GROSS,PSDB,RONDONIA,23
JOEL GROSS,PSDB,ROSELANDIA,2
JOEL GROSS,PSDB,SANTO AFONSO,10
JOEL GROSS,PSDB,SAO JORGE,76
JOEL GROSS,PSDB,SAO JOSE,34
JOEL GROSS,PSDB,VILA NOVA,2
JOEL GROSS,PSDB,VILA ROSA,7
JOELSON DE ARAÚJO,REPUBLICANOS,BOA SAUDE,16
JOELSON DE ARAÚJO,REPUBLICANOS,CANUDOS,501
JOELSON DE ARAÚJO,REPUBLICANOS,CENTRO,28
JOELSON DE ARAÚJO,REPUBLICANOS,GUARANI,7
JOELSON DE ARAÚJO,REPUBLICANOS,HAMBURGO VELHO,18
JOELSON DE ARAÚJO,REPUBLICANOS,IDEAL,51
JOELSON DE ARAÚJO,REPUBLICANOS,INDUSTRIAL,49
JOELSON DE ARAÚJO,REPUBLICANOS,JARDIM MAUA,21
