NR_ZONA;NR_SECAO;NM_SECAO;ENDERECO;BAIRRO
76;26;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;36;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;86;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;106;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;116;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;146;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;199;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;200;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;249;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;269;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;305;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;315;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;347;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;388;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
76;421;SOCIEDADE DE CANTO UNIÃO FRATERNAL;AV. PEDRO ADAMS FILHO, 3971;PATRIA NOVA
172;113;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;114;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;115;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;116;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;117;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;225;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;226;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;227;CENTRO ADMINISTRATIVO LEOPOLDO PETRY;RUA GUIA LOPES, 4201;CANUDOS
172;94;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;95;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;96;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;98;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;99;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;100;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;102;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;106;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;107;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;111;CENTRO SOCIAL MADRE REGINA;AVENIDA PEDRO ADAMS FILHO, 962;INDUSTRIAL
172;21;COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS);RUA GUILHERME OSCAR ODY, 153;CANUDOS
172;22;COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS);RUA GUILHERME OSCAR ODY, 153;CANUDOS
172;24;COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS);RUA GUILHERME OSCAR ODY, 153;CANUDOS
172;25;COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS);RUA GUILHERME OSCAR ODY, 153;CANUDOS
172;26;COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS);RUA GUILHERME OSCAR ODY, 153;CANUDOS
172;29;COLEGIO EST. ENGENHEIRO IGNACIO CHRISTIANO PLANGG (POLI CANUDOS);RUA GUILHERME OSCAR ODY, 153;CANUDOS
172;137;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;138;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;139;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;140;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;141;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;142;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;143;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;144;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;145;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;146;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;169;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;170;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;171;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
172;172;COLEGIO SINODAL DA PAZ (GINASIO);AV. PEDRO ADAMS FILHO, 1974;INDUSTRIAL
