NR_ZONA;NR_SECAO;NM_SECAO;ENDERECO;BAIRRO
172;175;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;176;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;177;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;178;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;179;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;180;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;181;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;210;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;298;EMEB PADRE REUS;RUA FLAMENGO, 186;SANTO AFONSO
172;38;EMEB PRESIDENTE CASTELO BRANCO;RUA IRMA AMALIA, 252;CANUDOS
172;39;EMEB PRESIDENTE CASTELO BRANCO;RUA IRMA AMALIA, 252;CANUDOS
172;40;EMEB PRESIDENTE CASTELO BRANCO;RUA IRMA AMALIA, 252;CANUDOS
172;41;EMEB PRESIDENTE CASTELO BRANCO;RUA IRMA AMALIA, 252;CANUDOS
172;195;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;201;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;202;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;203;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;204;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;205;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;272;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;299;EMEB PRESIDENTE DEODORO DA FONSECA;RUA HAMBURGO, 635;CANUDOS
172;42;EMEB PRESIDENTE FLORIANO PEIXOTO;RUA AMERICO VESPUCIO, 640;CANUDOS
172;44;EMEB PRESIDENTE FLORIANO PEIXOTO;RUA AMERICO VESPUCIO, 640;CANUDOS
172;46;EMEB PRESIDENTE FLORIANO PEIXOTO;RUA AMERICO VESPUCIO, 640;CANUDOS
172;127;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;128;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;129;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;130;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;131;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;132;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;133;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;134;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;135;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;136;EMEB PRESIDENTE HERMES DA FONSECA;RUA RIO TIETE, 258;LIBERDADE
172;186;EMEB PRESIDENTE WASHINGTON LUIZ;ESTRADA AFFONSO STRACK, 6233 (SANTA MARIA DO BUTIA - ZONA RURAL);LOMBA GRANDE
172;48;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
172;49;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
172;50;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
172;51;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
172;52;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
172;53;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
172;54;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
172;55;EMEB SENADOR SALGADO FILHO;RUA VEREADOR OSCAR HORN, 1046;CANUDOS
