NM_VOTAVEL,SG_PARTIDO,NR_SECAO,NM_SECAO,ENDERECO,BAIRRO,QT_VOTOS
TÂNIA DA SILVA,MDB,272,EMEB PRESIDENTE DEODORO DA FONSECA,"RUA HAMBURGO, 635",CANUDOS,37
TÂNIA DA SILVA,MDB,273,EEEM ANTONIO AUGUSTO BORGES DE MEDEIROS(POLI RONDONIA),"RUA IPIRANGA, 430",RONDONIA,34
TÂNIA DA SILVA,MDB,274,EMEB ANITA GARIBALDI,"RUA MUNDO NOVO, 222",CANUDOS,31
TÂNIA DA SILVA,MDB,275,CATEDRAL BASÍLICA SÃO LUIZ GONZAGA,"RUA JOAQUIM NABUCO, 543",CENTRO,25
TÂNIA DA SILVA,MDB,275,INSTITUTO ESTADUAL SENO FREDERICO LUDWIG (CIEP),"RUA AMALEI THÖN, 50",CANUDOS,29
TÂNIA DA SILVA,MDB,276,COLÉGIO ESTADUAL 25 DE JULHO,"RUA JOSÉ DO PATROCÍNIO, 730",RIO BRANCO,21
TÂNIA DA SILVA,MDB,276,INSTITUTO ESTADUAL SENO FREDERICO LUDWIG (CIEP),"RUA AMALEI THÖN, 50",CANUDOS,23
TÂNIA DA SILVA,MDB,277,EMEB FRANCISCO XAVIER KUNST,"RUA QUATRO, N. 120, LOTEAM. MORADA DOS EUCALIPTOS",CANUDOS,10
TÂNIA DA SILVA,MDB,277,EMEB MONTEIRO LOBATO,"RUA IRMÃ LINA, 240",SAO JORGE,33
TÂNIA DA SILVA,MDB,278,INSTITUTO ESTADUAL SENO FREDERICO LUDWIG (CIEP),"RUA AMALEI THÖN, 50",CANUDOS,23
TÂNIA DA SILVA,MDB,279,INSTITUTO ESTADUAL SENO FREDERICO LUDWIG (CIEP),"RUA AMALEI THÖN, 50",CANUDOS,25
TÂNIA DA SILVA,MDB,280,COLÉGIO MARISTA PIO XII,"AVENIDA NICOLAU BECKER,182",VILA ROSA,36
TÂNIA DA SILVA,MDB,280,EEEF NO BAIRRO SANTO AFONSO,"AV. BUENOS AIRES, 793",SANTO AFONSO,15
