NM_VOTAVEL,SG_PARTIDO,BAIRRO,QT_VOTOS
TARCÍSIO ZIMMERMANN,PDT,BOA SAUDE,1309
TARCÍSIO ZIMMERMANN,PDT,CANUDOS,7067
TARCÍSIO ZIMMERMANN,PDT,CENTRO,658
TARCÍSIO ZIMMERMANN,PDT,GUARANI,461
TARCÍSIO ZIMMERMANN,PDT,HAMBURGO VELHO,516
TARCÍSIO ZIMMERMANN,PDT,IDEAL,466
TARCÍSIO ZIMMERMANN,PDT,INDUSTRIAL,795
TARCÍSIO ZIMMERMANN,PDT,JARDIM MAUA,309
TARCÍSIO ZIMMERMANN,PDT,LIBERDADE,517
TARCÍSIO ZIMMERMANN,PDT,LOMBA GRANDE,607
TARCÍSIO ZIMMERMANN,PDT,OPERARIO,359
TARCÍSIO ZIMMERMANN,PDT,OURO BRANCO,232
TARCÍSIO ZIMMERMANN,PDT,PATRIA NOVA,508
TARCÍSIO ZIMMERMANN,PDT,PETROPOLIS,430
TARCÍSIO ZIMMERMANN,PDT,PRIMAVERA,705
TARCÍSIO ZIMMERMANN,PDT,RINCAO,259
TARCÍSIO ZIMMERMANN,PDT,RIO BRANCO,379
TARCÍSIO ZIMMERMANN,PDT,RONDONIA,1027
TARCÍSIO ZIMMERMANN,PDT,ROSELANDIA,580
TARCÍSIO ZIMMERMANN,PDT,SANTO AFONSO,2464
TARCÍSIO ZIMMERMANN,PDT,SAO JORGE,620
TARCÍSIO ZIMMERMANN,PDT,SAO JOSE,1593
TARCÍSIO ZIMMERMANN,PDT,VILA NOVA,197
TARCÍSIO ZIMMERMANN,PDT,VILA ROSA,413
TÂNIA DA SILVA,MDB,BOA SAUDE,459
TÂNIA DA SILVA,MDB,CANUDOS,3743
TÂNIA DA SILVA,MDB,CENTRO,707
TÂNIA DA SILVA,MDB,GUARANI,497
TÂNIA DA SILVA,MDB,HAMBURGO VELHO,485
TÂNIA DA SILVA,MDB,IDEAL,545
TÂNIA DA SILVA,MDB,INDUSTRIAL,683
TÂNIA DA SILVA,MDB,JARDIM MAUA,332
TÂNIA DA SILVA,MDB,LIBERDADE,432
TÂNIA DA SILVA,MDB,LOMBA GRANDE,456
TÂNIA DA SILVA,MDB,OPERARIO,415
TÂNIA DA SILVA,MDB,OURO BRANCO,270
TÂNIA DA SILVA,MDB,PATRIA NOVA,553
TÂNIA DA SILVA,MDB,PETROPOLIS,574
TÂNIA DA SILVA,MDB,PRIMAVERA,644
TÂNIA DA SILVA,MDB,RINCAO,374
TÂNIA DA SILVA,MDB,RIO BRANCO,345
TÂNIA DA SILVA,MDB,RONDONIA,855
TÂNIA DA SILVA,MDB,ROSELANDIA,540
TÂNIA DA SILVA,MDB,SANTO AFONSO,1146
TÂNIA DA SILVA,MDB,SAO JORGE,503
TÂNIA DA SILVA,MDB,SAO JOSE,1409
TÂNIA DA SILVA,MDB,VILA NOVA,146
TÂNIA DA SILVA,MDB,VILA ROSA,414
